student_id,age,gender,course,previous_semester_gpa,study_hours_per_day,attendance_percentage,sleep_hours_per_day,assignment_completion_rate,study_medium,exam_difficulty,social_media_hours_per_day,analytical_skill,communication_skill,technical_skill,leadership_skill,creativity_skill,final_exam_score,career_path
225,23,Female,BSc,6.62,7.0,88,8.8,good,group-study,moderate,0.0,outstanding,poor,average,average,poor,95.0,Public Service
226,20,Female,BBA,7.21,6.3,96,7.9,outstanding,self-study,easy,1.9,average,outstanding,outstanding,poor,good,95.0,Creative
227,20,Male,BCA,7.5,4.5,67,5.2,average,coaching,moderate,5.4,poor,poor,outstanding,outstanding,good,77.19,Creative
228,19,Female,BCA,8.29,5.9,85,5.5,good,group-study,easy,5.9,poor,poor,average,outstanding,average,95.0,Public Service
229,22,Male,BA,5.05,7.4,51,7.6,good,online,moderate,0.4,average,poor,good,average,good,91.28,Creative
230,24,Female,BSc,6.43,4.4,80,6.1,good,group-study,hard,3.5,poor,poor,good,average,poor,71.47,Public Service
231,19,Male,BTech,8.96,9.1,80,6.6,good,self-study,moderate,3.1,poor,poor,average,outstanding,outstanding,95.0,Creative
232,19,Male,BCA,9.63,9.1,78,8.0,outstanding,group-study,moderate,0.0,outstanding,average,average,outstanding,poor,95.0,Research
233,22,Female,BTech,5.55,10.0,100,5.6,outstanding,coaching,hard,0.0,good,poor,outstanding,average,average,95.0,Technology
234,21,Female,BCA,8.58,3.3,76,4.7,average,online,easy,0.0,outstanding,poor,good,good,outstanding,87.96,Technology
235,18,Female,BCom,9.63,4.4,77,7.2,good,coaching,easy,6.5,outstanding,poor,outstanding,average,outstanding,95.0,Technology
236,21,Male,BTech,7.1,4.1,63,6.9,good,group-study,moderate,6.5,average,average,outstanding,good,average,79.42,Public Service
237,20,Female,BCom,5.57,6.4,88,5.2,good,online,hard,1.3,poor,good,outstanding,outstanding,average,90.88,Business
238,20,Male,BA,6.07,6.0,79,8.1,good,online,easy,5.0,average,average,good,good,poor,79.38,Public Service
239,21,Female,BCom,8.85,0.7,72,8.1,poor,online,moderate,1.9,poor,good,poor,average,outstanding,87.53,Creative
240,23,Female,BSc,9.76,7.1,79,4.8,outstanding,self-study,moderate,0.9,average,average,average,poor,average,95.0,Public Service
241,18,Female,BA,9.62,4.4,74,5.8,good,self-study,moderate,1.4,poor,poor,outstanding,good,good,95.0,Creative
242,18,Male,BA,9.08,5.2,75,5.8,good,group-study,hard,1.8,outstanding,poor,outstanding,poor,good,95.0,Technology
243,21,Female,BCom,9.49,6.7,77,8.6,outstanding,online,moderate,0.6,outstanding,outstanding,good,average,good,95.0,Technology
244,22,Female,BA,5.62,8.5,84,6.3,outstanding,self-study,moderate,0.0,outstanding,good,poor,average,average,95.0,Public Service
245,21,Male,BA,6.27,8.5,87,5.3,good,group-study,easy,0.0,average,average,average,average,outstanding,95.0,Creative
246,22,Male,BSc,5.87,0.6,58,8.9,average,group-study,easy,4.6,average,good,average,poor,average,64.3,Public Service
247,18,Male,BSc,7.11,5.3,82,7.4,good,self-study,moderate,1.9,good,outstanding,poor,good,poor,93.6,Business
248,21,Female,BCA,7.44,5.9,69,4.2,average,online,easy,1.5,poor,good,good,good,outstanding,93.87,Business
249,19,Male,BSc,9.73,1.0,68,8.9,average,group-study,easy,0.0,good,average,good,poor,average,95.0,Technology
250,21,Male,BBA,5.89,5.1,100,8.5,average,online,easy,0.2,good,outstanding,poor,average,average,95.0,Public Service
251,18,Female,BBA,7.44,4.1,77,6.9,average,online,easy,3.2,good,poor,outstanding,good,outstanding,76.0,Technology
252,23,Male,BA,8.52,1.8,78,4.4,poor,self-study,easy,0.1,poor,good,poor,poor,poor,72.38,Public Service
253,22,Female,BSc,6.74,7.9,75,7.3,outstanding,group-study,easy,1.5,good,outstanding,average,outstanding,average,95.0,Business
254,23,Male,BSc,7.24,6.6,86,7.5,good,coaching,moderate,2.7,good,outstanding,good,poor,poor,95.0,Technology
255,20,Female,BSc,9.6,2.6,97,6.2,average,coaching,easy,7.2,average,outstanding,outstanding,outstanding,outstanding,91.28,Business
256,24,Female,BTech,8.63,8.2,100,5.3,outstanding,self-study,moderate,0.0,average,good,outstanding,average,average,95.0,Public Service
257,23,Male,BCom,9.47,3.2,81,8.1,good,coaching,hard,5.9,good,poor,good,average,average,92.11,Technology
258,24,Male,BBA,6.65,5.1,95,8.9,average,coaching,hard,0.7,average,poor,good,poor,poor,92.28,Public Service
259,22,Female,BTech,8.81,6.0,69,4.3,average,coaching,moderate,5.2,good,average,average,outstanding,poor,95.0,Public Service
260,19,Female,BBA,9.2,7.4,83,7.8,good,coaching,hard,0.0,poor,good,outstanding,outstanding,good,95.0,Business
261,21,Male,BBA,8.25,2.0,78,4.1,poor,coaching,hard,6.5,average,poor,average,poor,outstanding,72.74,Creative
262,18,Male,BBA,7.47,4.1,72,5.4,average,group-study,easy,1.2,poor,poor,outstanding,good,poor,86.41,Public Service
263,24,Male,BCA,7.09,5.2,76,5.5,average,online,moderate,4.7,outstanding,average,average,good,good,80.42,Creative
264,24,Female,BSc,8.11,8.0,82,5.1,outstanding,group-study,moderate,0.0,average,outstanding,outstanding,outstanding,good,95.0,Business
265,22,Male,BTech,8.37,4.3,61,4.1,average,online,hard,0.0,outstanding,average,average,good,good,90.25,Research
266,18,Male,BTech,6.61,1.4,51,4.7,poor,coaching,moderate,5.2,poor,good,average,poor,outstanding,55.19,Creative
267,23,Female,BTech,9.02,7.3,94,5.4,good,online,easy,4.0,good,poor,good,poor,good,95.0,Technology
268,18,Female,BSc,5.34,6.8,85,6.1,good,self-study,moderate,4.4,good,average,average,poor,average,85.08,Public Service
269,18,Male,BCA,8.09,4.5,94,8.7,average,self-study,hard,4.1,average,poor,good,outstanding,average,95.0,Public Service
270,21,Male,BBA,6.01,9.3,78,7.2,outstanding,group-study,easy,0.6,average,poor,good,poor,poor,95.0,Public Service
271,23,Female,BSc,6.74,10.0,100,4.6,good,group-study,moderate,0.0,poor,good,poor,average,poor,95.0,Public Service
272,20,Female,BA,8.04,2.9,53,8.5,poor,online,hard,2.7,good,good,good,good,poor,80.09,Technology
273,19,Male,BSc,8.66,9.6,93,6.3,outstanding,online,moderate,3.3,outstanding,poor,good,outstanding,outstanding,95.0,Technology
274,22,Male,BCom,5.41,7.8,98,6.1,good,self-study,hard,0.0,average,poor,average,outstanding,average,95.0,Public Service
275,20,Male,BBA,5.54,4.9,80,7.0,average,online,hard,1.9,average,good,good,good,good,80.5,Business
276,22,Female,BCom,9.06,6.9,77,6.9,good,coaching,hard,4.6,good,good,average,outstanding,poor,95.0,Business
277,18,Male,BCA,7.71,6.5,99,8.6,outstanding,group-study,moderate,0.0,outstanding,poor,good,good,outstanding,95.0,Technology
278,21,Female,BCA,6.85,9.6,88,6.0,good,group-study,moderate,0.0,poor,average,outstanding,average,average,95.0,Public Service
279,23,Male,BCom,6.29,2.7,79,5.0,poor,self-study,hard,1.7,good,poor,average,outstanding,poor,66.01,Public Service
280,22,Male,BCA,8.2,5.0,88,4.7,average,self-study,easy,6.2,poor,poor,average,average,poor,86.04,Public Service
281,20,Male,BA,8.99,10.0,100,4.7,outstanding,self-study,hard,0.0,poor,good,good,average,good,95.0,Creative
282,24,Female,BA,5.77,0.9,54,6.9,poor,group-study,easy,3.6,average,poor,outstanding,average,outstanding,60.84,Creative
283,21,Male,BTech,9.79,3.1,80,5.1,good,group-study,moderate,7.0,good,good,poor,good,outstanding,91.41,Business
284,22,Female,BTech,8.79,4.4,83,4.2,good,self-study,hard,3.2,average,poor,outstanding,poor,average,86.72,Public Service
285,23,Female,BSc,7.08,4.7,60,5.9,average,online,easy,0.0,outstanding,good,good,average,good,91.97,Technology
286,24,Male,BSc,7.97,9.3,85,5.6,outstanding,coaching,hard,1.3,average,good,outstanding,average,average,95.0,Public Service
287,23,Male,BCom,6.96,1.0,52,5.2,average,online,hard,7.3,average,poor,good,average,outstanding,60.24,Creative
288,20,Male,BTech,6.76,3.8,79,4.5,average,self-study,easy,6.0,outstanding,average,outstanding,poor,good,77.6,Technology
289,23,Female,BBA,5.45,5.3,84,6.5,good,self-study,moderate,0.9,poor,outstanding,average,average,average,81.78,Public Service
290,21,Male,BSc,5.15,7.5,86,6.9,outstanding,self-study,easy,0.8,poor,outstanding,poor,outstanding,good,95.0,Business
291,22,Male,BSc,6.93,9.3,84,8.0,good,group-study,moderate,0.0,outstanding,poor,outstanding,good,outstanding,95.0,Technology
292,24,Male,BBA,5.43,2.3,84,8.1,poor,online,hard,3.6,poor,poor,good,outstanding,average,73.13,Public Service
293,21,Male,BTech,7.94,1.0,73,6.3,average,coaching,moderate,2.2,average,outstanding,poor,average,poor,70.68,Public Service
294,22,Male,BTech,7.61,9.9,77,7.2,outstanding,coaching,easy,0.0,average,outstanding,poor,poor,poor,95.0,Public Service
295,24,Female,BBA,6.94,7.9,74,7.2,outstanding,online,moderate,0.0,average,good,average,good,poor,95.0,Business
296,22,Male,BSc,5.42,6.1,97,7.7,outstanding,group-study,moderate,5.9,good,outstanding,outstanding,good,poor,87.46,Technology
297,23,Male,BA,8.45,3.6,68,7.7,good,self-study,hard,5.8,good,average,outstanding,average,outstanding,95.0,Technology
298,22,Female,BBA,9.44,1.2,70,6.3,poor,online,easy,3.4,outstanding,outstanding,good,average,good,91.62,Technology
299,22,Female,BCA,8.02,4.8,75,4.5,good,coaching,moderate,5.4,poor,average,average,average,good,85.3,Creative
300,18,Male,BSc,6.05,9.6,69,4.9,good,coaching,moderate,0.0,good,good,average,outstanding,poor,95.0,Business
301,20,Male,BCA,9.58,3.6,76,4.6,average,self-study,easy,5.7,good,average,average,average,outstanding,86.95,Creative
302,22,Female,BA,8.79,1.6,81,4.9,poor,online,easy,1.0,outstanding,average,poor,good,outstanding,91.28,Research
303,21,Female,BBA,9.54,5.9,97,5.1,average,coaching,easy,3.5,good,average,poor,poor,poor,95.0,Public Service
304,21,Male,BTech,7.88,5.7,93,7.2,good,group-study,moderate,1.5,poor,good,good,good,poor,95.0,Business
305,24,Male,BTech,5.88,6.2,74,8.8,outstanding,online,moderate,0.0,outstanding,good,good,poor,good,95.0,Technology
306,21,Female,BTech,7.41,8.0,74,4.4,outstanding,coaching,hard,3.0,outstanding,outstanding,good,poor,outstanding,95.0,Technology
307,22,Female,BTech,7.17,1.1,67,6.6,poor,self-study,moderate,2.7,outstanding,good,outstanding,outstanding,outstanding,61.53,Technology
308,18,Female,BBA,8.9,4.2,72,7.9,good,self-study,easy,0.3,poor,average,good,average,poor,95.0,Public Service
309,20,Female,BA,9.1,8.0,100,5.1,outstanding,self-study,moderate,0.0,poor,good,average,outstanding,outstanding,95.0,Business
310,22,Male,BCA,9.73,9.7,76,8.5,outstanding,group-study,hard,0.0,poor,good,poor,outstanding,good,95.0,Business
311,23,Female,BCom,7.67,4.7,81,5.2,average,online,moderate,1.5,outstanding,average,poor,outstanding,outstanding,93.49,Creative
312,22,Male,BCA,5.58,4.3,80,5.6,average,coaching,easy,0.5,average,poor,average,good,good,78.55,Creative
313,20,Female,BCA,6.07,4.2,87,8.6,good,coaching,moderate,6.6,average,good,average,average,good,80.48,Creative
314,23,Female,BBA,8.75,9.3,90,5.5,good,online,moderate,0.1,outstanding,poor,good,outstanding,outstanding,95.0,Technology
315,24,Female,BA,6.76,7.4,65,4.4,outstanding,coaching,hard,0.1,average,outstanding,average,outstanding,average,95.0,Business
316,20,Male,BA,6.52,4.4,72,7.2,good,self-study,moderate,2.9,outstanding,poor,average,average,good,83.64,Creative
317,23,Male,BA,5.44,0.8,85,8.0,average,coaching,hard,1.5,good,outstanding,average,poor,outstanding,68.21,Creative
318,24,Male,BBA,5.67,4.5,85,7.8,good,group-study,easy,1.5,outstanding,outstanding,good,outstanding,average,93.54,Technology
319,23,Male,BSc,6.27,3.2,78,4.4,good,coaching,easy,0.0,good,poor,outstanding,outstanding,average,77.39,Technology
320,21,Female,BTech,7.3,7.8,78,8.5,outstanding,online,easy,0.4,poor,good,good,outstanding,poor,95.0,Business
321,18,Female,BCom,6.22,1.8,83,7.9,average,coaching,moderate,6.8,outstanding,outstanding,poor,good,outstanding,63.88,Business
322,18,Male,BA,7.72,3.9,71,7.8,good,online,easy,4.4,poor,average,poor,poor,outstanding,95.0,Creative
323,19,Female,BCA,6.04,2.2,92,6.1,average,online,easy,3.8,average,good,poor,outstanding,average,78.53,Business
324,21,Male,BCA,5.06,1.6,77,7.3,average,coaching,easy,1.9,good,good,poor,outstanding,outstanding,61.55,Business
325,20,Female,BA,6.05,7.3,100,8.2,good,online,easy,3.2,good,good,outstanding,outstanding,good,95.0,Technology
326,20,Male,BA,7.41,5.5,73,5.0,good,self-study,moderate,0.0,poor,poor,good,average,outstanding,95.0,Creative
327,19,Male,BA,5.92,2.9,66,5.8,average,online,moderate,5.9,poor,good,poor,good,outstanding,68.23,Business
328,19,Male,BA,9.34,5.2,66,5.9,average,self-study,moderate,1.3,average,outstanding,outstanding,outstanding,outstanding,95.0,Business
329,22,Male,BBA,8.91,9.7,88,5.4,outstanding,coaching,moderate,0.0,good,good,outstanding,outstanding,outstanding,95.0,Technology
330,18,Female,BA,5.83,5.3,72,8.2,good,self-study,easy,6.3,average,poor,average,good,outstanding,81.05,Creative
331,21,Female,BCA,5.19,6.9,86,4.9,good,online,easy,0.0,outstanding,poor,outstanding,poor,average,87.71,Technology
332,21,Male,BTech,6.15,5.3,56,8.3,average,self-study,moderate,3.1,average,average,poor,good,good,83.64,Creative
333,21,Male,BCom,9.48,7.5,78,8.3,outstanding,group-study,easy,0.0,poor,good,good,average,poor,95.0,Public Service
334,20,Male,BA,8.41,1.7,66,6.2,average,coaching,moderate,0.3,average,average,outstanding,outstanding,average,92.24,Public Service
335,19,Male,BA,8.94,8.5,90,4.1,good,self-study,moderate,0.0,average,good,outstanding,outstanding,good,95.0,Business
336,19,Female,BA,5.55,5.7,73,7.3,good,group-study,easy,0.0,poor,average,average,outstanding,good,91.02,Creative
337,23,Female,BA,6.7,6.8,84,7.3,good,online,hard,0.0,good,average,poor,average,outstanding,95.0,Creative
338,23,Female,BBA,9.8,5.4,93,7.7,good,group-study,easy,2.7,good,poor,average,average,good,95.0,Creative
339,24,Female,BSc,5.75,8.7,87,8.8,good,online,easy,1.0,average,average,average,average,good,95.0,Creative
340,24,Female,BTech,8.83,5.3,84,4.2,good,group-study,hard,5.4,poor,good,poor,good,average,95.0,Business
341,19,Male,BBA,9.65,3.7,78,4.2,average,self-study,hard,5.4,average,poor,outstanding,poor,average,86.43,Public Service
342,19,Male,BCA,8.1,7.0,100,5.4,outstanding,online,moderate,5.4,poor,average,poor,good,good,95.0,Creative
343,23,Female,BSc,6.93,2.3,94,5.4,average,online,moderate,2.8,outstanding,average,poor,good,poor,79.59,Public Service
344,20,Male,BCom,5.78,7.6,85,7.3,outstanding,online,easy,0.9,poor,good,average,good,poor,80.43,Business
345,20,Male,BBA,5.5,3.4,73,6.3,average,online,hard,0.0,outstanding,average,poor,average,good,78.66,Creative
346,23,Male,BCom,7.46,3.5,100,6.6,good,group-study,hard,3.4,poor,average,average,good,outstanding,95.0,Creative
347,19,Female,BA,8.06,5.8,81,6.8,average,coaching,moderate,0.0,poor,average,good,outstanding,outstanding,95.0,Creative
348,18,Female,BCA,9.52,8.7,94,5.7,outstanding,group-study,hard,5.1,good,average,poor,good,outstanding,95.0,Creative
349,22,Female,BTech,9.47,6.5,80,5.5,good,coaching,hard,0.0,good,poor,outstanding,average,poor,95.0,Technology
350,22,Female,BCom,8.26,8.0,100,7.2,outstanding,self-study,moderate,0.0,poor,poor,poor,average,poor,95.0,Public Service
351,21,Male,BCA,9.42,6.2,78,4.2,outstanding,coaching,hard,1.7,good,average,outstanding,outstanding,average,95.0,Technology
352,19,Female,BBA,7.55,9.6,98,6.6,good,group-study,hard,3.8,poor,good,poor,average,good,95.0,Creative
353,18,Male,BSc,9.79,3.0,100,7.3,poor,self-study,hard,1.8,poor,average,outstanding,average,good,92.88,Creative
354,20,Male,BA,7.19,2.5,82,4.0,average,online,moderate,1.0,average,poor,outstanding,good,outstanding,86.27,Creative
355,18,Male,BA,6.01,5.7,71,4.9,good,self-study,easy,0.9,good,outstanding,poor,outstanding,outstanding,83.12,Business
356,18,Female,BTech,5.59,3.0,58,8.7,poor,self-study,easy,0.5,outstanding,poor,poor,outstanding,average,74.81,Public Service
357,20,Male,BCom,8.91,4.7,54,7.1,good,online,easy,2.6,poor,poor,poor,poor,poor,95.0,Public Service
358,21,Female,BSc,7.3,3.3,80,4.4,average,group-study,hard,0.9,outstanding,outstanding,good,poor,outstanding,78.71,Technology
359,24,Male,BSc,6.37,7.6,84,6.0,good,coaching,moderate,0.0,average,good,average,good,outstanding,95.0,Business
360,21,Male,BTech,7.65,3.7,81,7.7,average,self-study,hard,6.7,poor,poor,average,outstanding,poor,87.67,Public Service
361,22,Female,BSc,9.37,2.6,65,4.5,poor,online,easy,6.7,good,average,poor,average,average,77.8,Public Service
362,22,Male,BA,8.72,6.8,80,7.9,good,group-study,moderate,1.8,good,average,outstanding,outstanding,outstanding,95.0,Technology
363,18,Female,BCA,5.87,2.5,60,4.1,average,coaching,easy,3.8,outstanding,outstanding,poor,poor,outstanding,59.12,Creative
364,19,Male,BA,5.17,8.2,83,6.9,outstanding,group-study,hard,2.1,poor,outstanding,good,good,outstanding,95.0,Business
365,20,Female,BBA,5.66,1.3,74,8.0,poor,group-study,hard,7.4,good,good,average,poor,poor,40.0,Public Service
366,19,Female,BA,8.75,2.0,65,7.8,poor,online,moderate,5.1,poor,good,good,average,good,79.53,Creative
367,21,Female,BBA,6.55,3.8,72,5.0,good,coaching,hard,0.8,average,good,good,poor,outstanding,89.28,Creative
368,21,Male,BBA,5.48,3.0,89,6.1,average,coaching,hard,5.9,outstanding,poor,outstanding,average,poor,41.37,Technology
369,24,Female,BCom,9.79,7.4,74,5.3,good,group-study,moderate,5.2,good,average,outstanding,poor,poor,95.0,Technology
370,21,Female,BSc,5.55,1.2,77,7.0,average,coaching,easy,4.5,average,poor,outstanding,good,poor,63.41,Public Service
371,19,Female,BSc,5.12,7.4,98,6.6,outstanding,self-study,moderate,4.1,poor,good,poor,poor,outstanding,94.34,Creative
372,24,Female,BTech,5.04,9.6,93,5.3,outstanding,group-study,hard,0.0,average,average,poor,good,poor,95.0,Public Service
373,22,Male,BSc,8.01,3.9,82,8.1,average,self-study,moderate,4.3,good,outstanding,poor,poor,good,85.97,Creative
374,18,Female,BTech,6.23,9.3,92,8.4,outstanding,online,hard,0.0,outstanding,good,poor,poor,poor,95.0,Public Service
375,24,Male,BA,6.75,5.4,88,8.0,average,group-study,moderate,5.7,good,average,outstanding,average,outstanding,68.72,Technology
376,21,Female,BTech,6.86,1.2,86,5.2,average,coaching,moderate,2.1,average,average,outstanding,good,poor,77.56,Public Service
377,23,Female,BBA,7.78,9.8,89,7.6,good,group-study,easy,0.0,average,good,poor,average,outstanding,95.0,Creative
378,21,Male,BCA,8.25,7.0,95,4.7,outstanding,group-study,moderate,1.3,outstanding,poor,good,good,outstanding,95.0,Technology
379,20,Female,BCom,9.33,4.7,91,6.7,good,online,hard,2.7,poor,poor,average,poor,average,95.0,Public Service
380,19,Female,BSc,5.58,7.7,91,4.4,good,coaching,moderate,0.5,good,outstanding,good,poor,good,93.47,Technology
381,19,Female,BSc,9.04,6.7,82,7.3,good,coaching,easy,5.4,outstanding,outstanding,average,good,good,95.0,Business
382,20,Male,BA,8.02,4.1,58,7.6,good,online,moderate,4.5,average,outstanding,good,outstanding,good,89.53,Business
383,18,Male,BCA,5.34,5.3,77,8.8,good,coaching,easy,5.3,average,outstanding,outstanding,outstanding,average,81.17,Business
384,21,Male,BCA,9.78,3.7,84,5.3,average,coaching,moderate,0.8,good,poor,outstanding,outstanding,good,95.0,Technology
385,23,Male,BTech,9.21,7.3,74,5.9,good,group-study,easy,0.4,average,poor,good,poor,outstanding,95.0,Creative
386,21,Female,BCA,9.14,6.0,81,7.9,average,online,hard,0.7,poor,good,good,good,outstanding,95.0,Business
387,23,Female,BCom,5.13,0.9,76,5.7,average,coaching,hard,0.6,average,average,outstanding,good,poor,59.97,Public Service
388,18,Male,BCom,8.55,7.7,93,4.8,good,coaching,hard,1.8,poor,poor,outstanding,average,average,95.0,Public Service
389,18,Male,BCom,6.15,7.6,88,8.9,outstanding,self-study,hard,5.6,outstanding,good,average,outstanding,poor,95.0,Business
390,19,Female,BA,9.22,4.6,79,7.5,average,coaching,hard,0.0,poor,good,poor,outstanding,poor,95.0,Business
391,24,Female,BSc,6.06,5.1,76,4.1,average,self-study,moderate,1.3,good,good,outstanding,outstanding,poor,79.4,Technology
392,21,Male,BCA,5.8,4.7,95,7.8,good,self-study,moderate,2.7,average,poor,poor,outstanding,outstanding,95.0,Creative
393,21,Male,BTech,5.34,9.2,84,8.9,outstanding,coaching,moderate,2.3,average,good,outstanding,outstanding,good,95.0,Business
394,23,Female,BCom,7.12,9.1,89,8.6,outstanding,group-study,hard,0.0,outstanding,good,average,good,poor,95.0,Business
395,23,Female,BBA,5.59,1.2,73,8.3,average,self-study,easy,3.3,outstanding,good,good,good,average,69.29,Technology
396,21,Male,BTech,8.74,1.0,73,7.5,poor,group-study,easy,7.7,average,poor,outstanding,outstanding,outstanding,77.8,Creative
397,24,Male,BA,6.27,3.9,75,8.8,average,group-study,easy,2.8,good,outstanding,poor,outstanding,poor,85.49,Business
398,23,Male,BTech,5.29,7.2,72,8.9,outstanding,coaching,moderate,0.1,outstanding,outstanding,outstanding,good,outstanding,95.0,Technology
399,18,Female,BBA,5.19,2.8,74,6.7,poor,coaching,moderate,2.0,average,good,outstanding,outstanding,outstanding,61.39,Business
400,20,Male,BSc,5.73,5.9,67,5.1,good,coaching,hard,2.6,outstanding,outstanding,outstanding,good,good,78.66,Technology
401,20,Male,BTech,7.3,3.8,76,6.4,average,coaching,moderate,3.9,good,outstanding,poor,poor,average,82.09,Public Service
402,22,Male,BA,6.64,5.8,100,6.0,good,self-study,easy,0.0,outstanding,outstanding,good,good,good,95.0,Technology
403,18,Female,BCom,6.23,4.9,59,6.4,good,self-study,hard,1.2,poor,good,average,average,poor,81.45,Public Service
404,22,Female,BTech,6.47,2.1,85,5.4,average,self-study,moderate,0.0,poor,average,good,good,good,69.07,Creative
405,22,Male,BTech,7.3,9.5,73,6.3,outstanding,self-study,moderate,0.0,outstanding,outstanding,average,average,good,95.0,Creative
406,21,Female,BCom,5.46,7.0,88,5.8,good,coaching,hard,0.6,poor,poor,average,good,poor,94.89,Public Service
407,21,Female,BCA,8.19,7.6,99,7.9,outstanding,coaching,moderate,0.0,poor,outstanding,outstanding,poor,poor,95.0,Public Service
408,22,Male,BCom,9.48,3.4,69,8.4,good,online,hard,6.1,average,good,good,poor,outstanding,93.82,Creative
409,22,Male,BBA,6.04,6.0,100,5.9,average,group-study,easy,4.7,good,average,average,good,average,87.08,Public Service
410,18,Female,BA,7.23,7.1,94,4.0,outstanding,self-study,hard,1.5,outstanding,good,average,average,good,95.0,Creative
411,19,Male,BCA,6.14,1.7,75,4.5,average,online,easy,2.6,good,average,good,outstanding,poor,75.63,Technology
412,20,Male,BBA,6.28,9.9,100,4.4,outstanding,self-study,easy,0.0,good,outstanding,average,poor,average,95.0,Public Service
413,20,Male,BA,8.3,3.5,73,4.9,average,coaching,moderate,5.9,outstanding,outstanding,good,good,average,85.06,Technology
414,24,Female,BSc,7.76,10.0,96,5.7,good,self-study,easy,0.0,outstanding,poor,outstanding,good,poor,95.0,Technology
415,21,Female,BCom,6.18,7.0,79,5.3,good,coaching,moderate,2.0,good,poor,average,outstanding,average,92.81,Public Service
416,23,Female,BCom,6.03,9.2,82,4.9,good,online,hard,0.0,average,poor,good,poor,outstanding,95.0,Creative
417,22,Male,BCA,9.08,1.4,55,7.3,average,self-study,easy,4.5,good,good,poor,average,poor,81.68,Public Service
418,24,Female,BCom,8.04,2.1,69,6.6,poor,coaching,hard,0.0,outstanding,average,outstanding,outstanding,good,89.92,Technology
419,19,Female,BSc,8.33,3.2,85,8.1,average,self-study,moderate,5.4,good,poor,good,outstanding,poor,94.97,Technology
420,23,Female,BTech,7.09,5.0,83,5.5,average,online,moderate,3.3,average,outstanding,poor,average,average,84.32,Public Service
421,18,Female,BBA,9.12,5.1,73,4.1,good,self-study,easy,6.4,poor,poor,outstanding,average,poor,91.74,Public Service
422,20,Male,BCom,6.41,1.0,68,8.3,poor,online,moderate,7.4,poor,good,poor,outstanding,good,55.31,Business
423,20,Male,BA,9.71,6.5,80,6.0,good,coaching,hard,1.6,outstanding,good,outstanding,good,good,95.0,Technology
424,23,Female,BBA,7.49,5.2,100,8.7,good,coaching,moderate,1.1,good,good,poor,average,outstanding,95.0,Creative
425,22,Female,BA,9.49,5.6,91,6.2,average,self-study,moderate,6.0,poor,average,poor,outstanding,poor,95.0,Public Service
426,23,Male,BTech,8.99,4.3,83,7.6,good,group-study,moderate,4.8,outstanding,average,outstanding,average,good,89.16,Technology
427,18,Male,BTech,7.82,1.8,86,8.3,average,coaching,moderate,2.1,poor,outstanding,poor,poor,poor,94.96,Public Service
428,22,Male,BA,6.69,3.2,81,7.1,average,coaching,hard,0.0,poor,poor,good,good,poor,79.88,Public Service
429,21,Female,BSc,8.73,5.0,82,5.5,good,group-study,hard,4.1,poor,good,outstanding,outstanding,outstanding,91.37,Business
430,21,Female,BCA,8.93,4.6,79,5.9,good,coaching,easy,4.3,poor,outstanding,outstanding,good,poor,95.0,Business
431,21,Female,BA,9.69,7.8,82,5.9,outstanding,group-study,easy,0.0,poor,good,good,outstanding,good,95.0,Business
432,21,Male,BCom,6.89,0.6,61,6.6,poor,online,hard,5.5,outstanding,poor,good,poor,average,61.86,Technology
433,20,Female,BCA,7.99,3.1,80,5.4,good,group-study,easy,0.9,outstanding,outstanding,average,poor,poor,88.07,Public Service
434,22,Male,BTech,6.86,8.0,74,5.6,good,online,easy,2.8,good,poor,average,average,outstanding,95.0,Creative
435,20,Female,BCA,9.56,5.7,83,8.0,good,online,easy,2.2,good,outstanding,good,outstanding,good,95.0,Technology
436,23,Male,BSc,8.42,5.7,93,7.8,average,self-study,hard,1.6,poor,poor,outstanding,outstanding,average,95.0,Public Service
437,24,Male,BCA,8.42,1.9,51,8.1,average,online,easy,5.0,good,outstanding,good,outstanding,average,90.82,Technology
438,20,Female,BCom,5.02,1.3,51,8.8,poor,online,moderate,6.2,outstanding,poor,poor,outstanding,average,52.19,Public Service
439,23,Female,BTech,9.56,6.7,93,5.8,good,online,moderate,4.6,poor,average,good,average,poor,95.0,Public Service
440,21,Female,BA,7.36,8.3,84,4.7,outstanding,group-study,moderate,1.8,poor,poor,poor,poor,outstanding,95.0,Creative
441,19,Male,BCA,6.47,0.5,83,7.0,poor,coaching,hard,0.1,good,average,poor,poor,average,75.72,Public Service
442,23,Male,BTech,7.55,2.2,74,4.9,poor,group-study,easy,1.4,good,average,outstanding,average,poor,77.11,Technology
443,19,Female,BSc,6.38,4.2,78,5.6,good,coaching,hard,6.1,average,good,outstanding,average,outstanding,67.54,Creative
444,21,Female,BCom,5.24,7.6,90,6.0,outstanding,coaching,easy,0.0,good,good,poor,poor,average,95.0,Public Service
445,19,Male,BTech,5.71,5.0,93,5.4,good,group-study,moderate,6.0,good,outstanding,good,good,average,78.03,Technology
446,24,Male,BCom,6.75,3.6,100,8.2,average,self-study,easy,2.5,average,average,good,poor,good,88.38,Creative
447,18,Male,BCom,5.29,8.3,92,8.6,outstanding,coaching,hard,3.0,outstanding,average,average,outstanding,outstanding,95.0,Creative
448,22,Male,BA,5.37,5.9,100,6.4,good,coaching,hard,1.6,poor,poor,good,outstanding,good,86.43,Creative
449,19,Male,BSc,7.31,9.0,68,7.1,good,self-study,moderate,0.0,good,good,good,good,poor,95.0,Technology
